0,Published,Link,Title,Snippet
1,2020-08-03T16:15:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/august/no-deal-on-new-covid-relief-bill-as-congress-debates-paying-people-more-to-stay-home,No Deal on New COVID Relief Bill as Congress Debates 'Paying People More to Stay Home',"WASHINGTON - Negotiations have resumed on the latest round of coronavirus relief but the White House says a deal has not been reached. 
""I'm totally involved and we are going to be doing something things that are good,"" said President Donald Trump. 
President Trump sent White House Chief of Staff Mark Meadows and Treasury Secretary Steven Mnuchin to Capitol Hill hoping to strike a deal with Democrats. 
""We're not close yet, but it was a productive discussion,"" said Senate Minority Leader Chuck Schumer (D-NY).
Schumer says money for state and local needs as well paying for schools to open safety is a must. 
""What started as probably the first day of a good foundation, production discussions, and building upon those until we reach an agreement,"" said Meadows.
The agreement hinges on unemployment benefits. Democrats want the original $600 a week extended until January 2021. Republicans want to reduce the amount to $200 a week. 
STAY UP TO DATE WITH THE FREE CBN NEWS APP 
Click Here Get the App with Special Alerts on Breaking News and Top Stories
House Speaker Nancy Pelosi (D-CA) argues 30 million Americans count on that support for food, housing, and childcare. 
""What we are doing is not only trying to arrest the virus but to invest in the economy,"" said Pelosi. 
But the White House argues the higher amount hurts the economy because some people make more money by remaining unemployed. 
""There's no question in certain cases where we're paying people more to stay home then to work that's created issues in the entire economy,"" said Mnuchin. 
Congress is now getting ready for an August recess which puts more pressure on lawmakers to hash out a deal. 
We encourage readers who wish to comment on our material to do so through our Facebook, Twitter, YouTube, and Instagram accounts. God bless you and keep you in His truth."
0,2020-07-31T11:30:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/trump-backs-away-from-idea-of-delaying-election-but-still-concerned-i-dont-want-to-see-a-crooked-election,"Trump Backs Away from Idea of Delaying Election, but Still Concerned: 'I Don't Want to See a Crooked Election'","WASHINGTON - President Donald Trump backed away from the idea of delaying the November election over concerns about mail-in ballots after he tweeted it would lead to the ""most inaccurate & fraudulent election in history.""
The idea was quickly shot down by Democrat and Republican lawmakers alike. Trump eventually addressed the issue on Thursday night during a press conference.
""Do I want to see a day change? No, but I don't want to see a crooked election,"" Trump said. ""This election will be the most rigged election in the history if that happens."" 
Related
'Absolute Catastrophe': New York's Mail-In Mess and What It Could Mean for the Presidential Election
Trump Proposes Election 'Delay': Here's What the 20th Amendment to the US Constitution Says
Trump points to concerns over voter fraud and the massive problems with a Presidential election depending so heavily on mail-in voting. 
 
""Well, what I want to explain to people, but it doesn't need much explanation, I mean you look at article after article. New York's mail vote disaster. Tens of thousands of mail ballots have been tossed out of this year's primaries. What will happen in November?"" Trump asked.
New York tried to let residents vote by mail in the June primaries, and that led to massive delays, the system was overwhelmed with votes and many races still haven't been counted weeks later. 
New York warns the situation could get even worse in November. 
MORE 'Absolute Catastrophe': New York's Mail-In Mess and What It Could Mean for the Presidential Election
 
""A switch from almost no absentee ballots to approximately 50 percent absentee ballots in with two months notice rally strains the system,"" said Susan Lerner, executive director of Common Cause New York. 
The President referred to multiple news stories about the concerns with mail-in voting. California also experienced major problems where more than 100,000 mail-in votes were rejected in the Presidential primaries in March. 

Miami-Dade County Judges Eleane Sosa-Bruzon, left, and Victoria Ferrer, right, examine signatures on vote-by-mail ballots for the August 18 primary election at the Miami-Dade County Elections Department, July 30, 2020 (AP Photo/Lynne Sladky)
The Heritage Foundations's Hans Von Spakovsky explained on CBN's Faith Nation that one problem with mail-in voting is the rejection rate is much higher than polling places. 
 
""What election officials need to be doing is trying to ensure that as many polling places are open to vote in person, but using all the same safety protocols we're using when we go to the grocery store or our pharmacies,"" Von Spakovsky said. ""Look, the CDC just released guidelines on how to safely do in-person voting with all those kind of safety protocols in place.""
President Trump doesn't have the power to change the date of the election anyway, that's up to Congress, and they certainly don't plan to do so. But the concerns over a heavy dependence on mail-in voting aren't new. 
 
Meanwhile, a Wall Street Journal editorial warned in May that a close presidential election could lead to an election nightmare – with a close race where many votes aren't counted or thrown out, and lawsuits are filed. That could lead to an election that could further divide an already polarized country."
0,2020-07-31T08:30:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/trump-is-the-right-to-try-president-thats-why-he-says-doctors-should-be-free-to-consider-hydroxychloroquine,Trump Is the 'Right-to-Try President': He Still Says Docs Should Be Free to Try Hydroxychloroquine,"A top White House Official tells CBN News that President Trump is the ""Right-to-Try President"" when it comes to finding medicines to help fight off COVID-19. Alyssa Farah, the White House Director of Strategic Communications spoke with CBN's David Brody Thursday at The White House about the use of hydroxychloroquine, which has been at the center of much coronavirus controversy. 
""I would start by saying the president is the 'Right-to-Try President',"" Farah tells CBN News. ""He passed historic legislation that helps terminally ill patients try medications that are still in the trial phase, anything to try to save their lives. So that's the mindset he approaches this virus with as well. We've always said while talking about hydroxychloroquine, you should only take it in consultation with your medical professional, so with a doctor."" 
 
In the wide-ranging interview, Farah also discussed the possibility of mail-in ballot fraud in 2020, plus the president's plan to protect those in the suburbs from anarchists and violence. Below are some other highlights from the interview. You can see more tonight on CBN's nightly Faith Nation show at 6pm ET. 
 
On COVID-19 and Hydroxychloroquine
David Brody: ""If you hear the media talk about COVID-19, they like to say that this President has, 'blood on his hands.' What is the reaction when this administration hears that type of talk from the media?""  
  
Alyssa Farah: ""Well, first off, it's a tragedy that our nation is united in that we've lost 150,000 Americans. This weighs heavier on no one's heart than the President's. I'm in with him in meetings daily, when he's getting updates. He's getting data reports. He's deploying PPE, he's sending support to states. He doesn't let the noise bother him. It's hard for those who care about him and those around him. He's focused on leading though, and what our government has been able to do to respond to this unprecedented crisis is truly amazing. One thing I would tell your viewers that I think is important to know is just how far we've come since March and April at the height of this virus. Yes, cases are still rising but we have therapeutics, we have PPE, we have hospital capacity. We've actually got some exciting announcements coming on further therapeutics soon, and we're racing toward a vaccine. And that is all thank you to President Trump's leadership.""  
 
David Brody: ""So you think that media narrative is pretty much bogus?""  
  
Alyssa Farah: ""It is. Listen the media plays an important role in public health and in getting information to the American people. What's not helpful is when they're weighing in and not giving all the facts, not properly contextualizing it, and really politicizing what is a tragedy. We all really need to be united and together."" 
  
David Brody: ""Hydroxychloroquine There are a lot of folks who say the President was right all along. What's the feeling inside the White House about hydroxychloroquine?"" 
  
Alyssa Farah: ""Well, I would start by saying the president is the ""Right-to-Try President."" He passed historic legislation that helps terminally ill patients try medications that are still in the trial phase, anything to try to save their lives. So that's the mindset he approaches this virus with as well. We've always said while talking about hydroxychloroquine, you should only take it in consultation with your medical professional so with a doctor. "" 
  
On 2020 and Election Fraud 
 
David Brody: ""There was a tweet from the president this morning on Thursday morning, where he talked about, and he put a lot of question marks after, but should the election be delayed? We've already heard Senator Mitch McConnell and Ted Cruz come out and say no, we're not going to delay the election. What was the thinking behind that tweet?""   
  
Alyssa Farah: ""Yes. So the President was raising awareness about the issues with mass mail-in voting. So he's been raising alarms about this for a while. When you have states send out mass ballots to voters to turn in at any time, so they're ripe for fraud. So an example we would point to is a New York congressional district had their election weeks ago. But the results have yet to be called three weeks later, because of mass mail-in voting, some fraud-related too, and not just not being able to account for the ballots. So the point he's making is, if we go to this model, and we do this across the board, how can we even be sure that the election results are going to come on Election Day?"" 
  
On the Recent Economic Numbers 
  
David Brody: ""The economy. Some tough numbers today (Thursday) in that second quarter. What does that portend for the future potentially because last time I checked, the third quarter comes after the second quarter. And oh, by the way, that could be right around October."" 
  
Alyssa Farah: ""Yes. So we were anticipating poor numbers for Q2, just to be honest. If you think about it, in April and May the economy was artificially shut down to deal with coronavirus. So millions of businesses weren't operating. Money wasn't being circulating in the economy. We started some phases of reopening in June. So actually our projections showed it would be worse than 32% that it ended up being, but we do think GDP growth is a bit of a lagging indicator. We expect that Q3 is going to be significantly better.""  
  
On Law and Order 
 
David Brody: ""He says he is the president of law and order. And of course, what we've seen in Portland, for 63 straight nights been hard to watch. What's the view of this White House when you see Democrats like Jerry Nadler and others at the (Attorney General) Barr hearing the other day and others who were saying they're calling these folks protesters, sometimes peaceful protesters, and we're seeing that the images are the exact opposite?"" 
  
Alyssa Farah: ""Oh, it's the exact opposite. And we've been getting footage. The Department of Homeland Security has been doing an incredible job trying to maintain the peace in the streets of Portland. And frankly, the governor and local police enforcement have not stepped up to the job. And what you see is organized agitators, you see anarchists trying to burn down a federal courthouse. Men and women across this country aren't going to stand for that. We've heard tremendous feedback on this issue. It's one that just really resonates with the American people because if we're not going to defend our federal buildings, what's next? Is it my neighborhood next?"" 
 "
0,2020-07-30T16:30:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/emotional-send-off-for-civil-rights-legend-rep-john-lewis,Emotional Send-Off for Civil Rights Legend Rep. John Lewis,"An emotional homegoing service was held Thursday in Atlanta for US Rep. John R. Lewis, capping six days of celebration of the life and legacy of the civil rights legend.
The elaborate procession involved a horse-drawn carriage, parades, and a military escort along the Edmund Pettus Bridge in Selma, Alabama, along with lying in state at the nation's Capitol before being taken to his final resting spot in his adopted home state of Georgia.
At Atlanta's historic Ebenezer Baptist Church, where the Rev. Dr. Martin Luther King, Jr. served as a pastor before he was assassinated, family, friends, and co-laborers in the Civil Rights movement filled the pews.
Rev. Dr. Raphael G. Warnock called it, ""The spiritual home of John Robert Lewis - America's freedom church.""
   
It was a final farewell to the man dubbed the conscience of Congress. House Speaker Nancy Pelosi, (D-CA) said, ""To John Miles, to the entire Lewis family. Thank you for sharing John Lewis with us.""
Lewis was an ordained Baptist minister who practiced preaching to chickens as a young boy. Today he was honored by civil rights leaders, public officials, and three former presidents as a peaceful soldier of ""redemptive suffering"" who stood up to injustice.
    
President Bill Clinton said, ""I'm so grateful he stayed true to form. He's gone up yonder and left us with marching orders.""
    
President George W. Bush also joined in, saying, ""We live in a better and nobler country today because of John Lewis and his abiding faith in the power of God.""
    
And President Barack Obama spoke as well, saying, ""When we do form a more perfect union — whether it's years from now, or decades, or even if it takes another two centuries — John Lewis will be a founding father of that fuller, fairer, better America.""
    
Lewis' friend, William Craig Campbell, a former Atlanta Mayor, summed up his life in this way: ""John Lewis was love. Good night, sweet prince.""
Lewis died July 17 at the age of 80.
     "
0,2020-07-30T13:45:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/trump-warns-us-could-implode-like-venezuela-if-we-choose-radical-left-policies-like-green-new-deal,Trump Warns: US Could Implode Like Venezuela if We Choose 'Radical Left' Policies Like 'Green New Deal',"President Donald Trump is warning that socialist ideas could destroy America like they've done to Venezuela.
Speaking in Texas on the campaign trail Wednesday, the president said the policies of the ""radical Left"" would mean the death of American prosperity and devastate America's energy industry. He points out that oil-rich Venezuela was once prosperous and successful, but now it's an economic wreck, and that could also happen to the US if we take the same path.
The president singled out Rep. Ocasio-Cortez's nearly $100 trillion Green New Deal and argued that Joe Biden's plan to mandate ""zero-carbon emissions from power plants by 2035"" will hurt America.
Earlier this month Biden announced his plan to spend $2 trillion over four years to create green energy, saying, ""God willing I win and even if I serve eight years, I want to make sure we put down such a marker that it's impossible for the next president to turn it around."" 
Trump contends that would be disastrous. ""The US energy industry would grind to a halt, and every single energy-producing state would be plunged into a depression,"" he said. ""Two million jobs would vanish overnight in just the state of Texas alone.  And I think the number is probably a lot higher than 2 million. Millions more would disappear in New Mexico and Ohio and Colorado and Pennsylvania.""
""The policies required to implement this extreme agenda would mean the death of American prosperity and the end of the American middle class. It would mean, I think, even worse than that. It would destroy our country. I used to say, 'Would become another Venezuela.' Same ideology. You would become another Venezuela. Venezuela used to be one of the richest in the world, per capita, and period, one of the richest in the world — among the largest oil reserves. Now they don't have water, they don't have medicine, they don't have food. You got a lot of oil; it doesn't matter. Doesn't seem to matter. They don't have anything. And that can happen to us.""
Trump Points to the Riots in Portland
Trump also points to the riots in Portland as just one example of why the threat of the far-Left should be taken seriously. He says if the problem there isn't solved locally very soon, he'll send in the National Guard.
""All you have to do is look at Portland. Look at the agitators.  Look at the anarchists in Portland. And our people have done a great job in protecting our courthouse. And I told my people, a little while ago: If they don't solve that problem locally, very soon, we're going to send in the National Guard and get it solved very quickly,"" he said.
Oregon Gov. Kate Brown has announced the Trump administration will withdraw federal officers who've been protecting the federal courthouse in Portland under nightly attack by radical protestors.
Local officials claim their presence is making the situation worse. Acting DHS Secretary Chad Wolf said local and state officers will now protect the courthouse.
However, Trump is sending a different message, saying the agents won't leave Portland until the city is secure. The president is accusing Democratic leaders in several cities and states of not standing up to violent protestors.
 "
0,2020-07-30T11:00:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/former-gop-presidential-candidate-herman-cain-dies-of-covid-at-74,"Former Campaign Staffer Eulogizes Herman Cain, Who Died of COVID: ‘His American Dream Story Is One for the History Books’","In a moving Twitter thread posted Thursday, the former communications director for Herman Cain, who died due to complications from COVID-19, eulogized the one-time presidential contender.
“I’m bracing for the cruelty online about how he deserved to get COVID and die because of his politics,” wrote Ellen Carmichael. “We’re living in a dark time. But, they didn’t know him. I did.”
Carmichael took on the task of serving as Cain’s communications director at the age of 23, when she was right out of college. She described her time working with the accomplished businessman-turned-politician as “a chaotic experience,” recalling her time “explaining away gaffe after gaffe from an unpolished candidate.”
While the work “was really hard and exhausting,” it was absolutely worth it, because Cain “was a giant of a person in ways that people who would choose to see him merely as a caricature could never understand.”
You're never ready for the kind of news we are grappling with this morning. But we have no choice but to seek and find God's strength and comfort to deal... #HermanCain https://t.co/BtOgoLVqKz
— Herman Cain (@THEHermanCain) July 30, 2020
Before running for the Republican nomination for president in 2012, Cain, born and raised in Atlanta, served as a systems analyst for the Department of the Navy — a position he earned after earning a bachelor’s degree in mathematics from Morehouse College in 1967 and a master’s degree in computer science from Purdue University in 1971.
He later became a business analyst for the Coca-Cola Company, where he remained until 1977, when he was hired to manage an analysis group at the Pillsbury Company. He later left that position to lead a Philadelphia unit of Pillsbury’s Burger King franchises, which he saved due to a number of customer service and employee morale initiatives he incorporated.
Cain is perhaps best known, though, for taking Godfather’s Pizza, a struggling Pillsbury holding, and turning it around in just 14 months.
“This man knew business and he knew people,” wrote Carmichael. “His signature approach was to go to the people closest to the problem to solve it. It worked.”
In addition to his success in business and politics, Cain fought — and “miraculously” won — his battle against stage-four liver and colon cancer.
ANYTHING ELSE?
Carmichael also shared an anecdote from her time on the campaign trail with Cain. The recollection revealed quite a bit about the late politician’s character.
The now-32-year-old Carmichael wrote about remarks Cain made “about wanting to stop the construction of a mosque in Tennessee” — a position with which Carmichael disagreed.
“He understandably got a lot of blowback on this,” she wrote. “But, members of a northern Virginia mosque opened their doors to him. They educated him. They broke bread with him. They had him speak to summer campers. He called me from the airport, voice cracking from holding back tears.”
“He told me how wrong he had been, how wonderful of a time he had and how they invited him to speak at a future Friday service,” Carmichael added. “His life was clearly changed by the experience. I hung up the phone and cried myself.”
Despite the various opinions people have about Cain’s politics, Carmichael wrote that her former boss “was a really good person … and despite the challenges he faced in his life, he deeply loved his country with his whole heart.”
In conclusion, the former communications director thanked Cain for hiring her. “Rest in peace, Herman,” she wrote. “May you have your eternal reward.”
At the age of 23, I served as the communications director for Herman Cain’s presidential campaign. It was a chaotic experience, which explains how someone fresh out of college could find herself explaining away gaffe after gaffe from an unpolished candidate.
— Ellen Carmichael (@ellencarmichael) July 30, 2020
His American Dream story is one for the history books. Overcame absolute destitution, genuine discrimination, stage IV cancer and so much hardship in between. Rose up the ranks of America's biggest corporations, advised presidential campaigns, chaired a Federal Reserve bank...
— Ellen Carmichael (@ellencarmichael) July 30, 2020
He singularly took down HillaryCare when he had the tenacity to school President Clinton on basic economics in a townhall. Clinton, smug as ever, smirked as he thought Cain would side with him. He was wrong. Herman humiliated him. https://t.co/gF2NLaL5pU
— Ellen Carmichael (@ellencarmichael) July 30, 2020
Finally, I wish I could tell him this:
Thank you. You changed my life forever when you took a chance on me - a 23-year-old recent college graduate who foolishly thought she could be a presidential campaign spokeswoman.
Rest in peace Herman. May you have your eternal reward.
— Ellen Carmichael (@ellencarmichael) July 30, 2020
CLICK HERE to read more about Herman Cain's Faith in God
   "
0,2020-07-30T10:30:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/trump-proposes-election-delay-heres-what-the-20th-amendment-to-the-us-constitution-says,Trump Proposes Election 'Delay': Here's What the 20th Amendment to the US Constitution Says,"President Trump is making headlines with a morning tweet in which he questioned whether the US should consider delaying the November presidential election due to voter fraud concerns.
He tweeted, ""With Universal Mail-In Voting (not Absentee Voting, which is good), 2020 will be the most INACCURATE & FRAUDULENT Election in history. It will be a great embarrassment to the USA. Delay the Election until people can properly, securely and safely vote???""
With Universal Mail-In Voting (not Absentee Voting, which is good), 2020 will be the most INACCURATE & FRAUDULENT Election in history. It will be a great embarrassment to the USA. Delay the Election until people can properly, securely and safely vote???
— Donald J. Trump (@realDonaldTrump) July 30, 2020
Trump's tweet comes on the heels of widespread vote-counting problems after New York's mail-in-voting election which was caused by the pandemic.
New York Democrat candidate Suraj Patel, who is running against US Rep. Carolyn Maloney, is suing over the mail-in voting problems, pointing out that 30 percent of mail-in ballots received in his Brooklyn congressional district were discarded.
President Trump's Press Secretary Kayleigh McEnany blasted New York's vote counting as an ""absolute catastrophe"" and a reason to question voting by mail.
  
The US presidential election is always slated for the Tuesday after the first Monday in November. That's mandated by federal law so it would require an act of Congress to change, and with Democrats controlling the House of Representatives, that seems unlikely. 
Inauguration Day Is January 20, No Matter What
One way or another, the presidential inauguration for the next US president will take place on Jan. 20, 2021 as mandated by the 20th Amendment to the United States Constitution.
The 20th Amendment states:
Section 1. The terms of the President and Vice President shall end at noon on the 20th day of January, and the terms of Senators and Representatives at noon on the 3d day of January, of the years in which such terms would have ended if this article had not been ratified; and the terms of their successors shall then begin.
Due to the pandemic, there's been a push by some states to mail ballots or absentee request forms to all registered voters. Previously, voters needed to request an absentee ballot, verifying their ID in order to vote.
Mail-in voting raising concerns for many observers. Lisa Dixon, executive director of the Lawyers Democracy Fund, says, ""Election experts on both the Right and Left agree that voting by mail is the system, the method of voting that's most susceptible to fraud.""
US Attorney General William Barr told a House committee this week he believes there is “a high risk” that mail-in voting would lead to “massive” fraud. “If you have wholesale mail-in voting, it substantially increases the risk of fraud,” he said.
President Trump has called remote voting the “biggest risk” to his reelection. He told supporters in Arizona last month, “This will be, in my opinion, the most corrupt election in the history of our country.""
 "
0,2020-07-29T16:00:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/republican-lawmaker-tests-positive-for-covid-ahead-of-trip-with-trump,Republican Lawmaker Tests Positive for COVID Ahead of Trip with Trump,"Rep. Louie Gohmert (R-Texas) has tested positive for the novel coronavirus ahead of his planned trip with President Donald Trump.
The Republican was slated to travel with the president on Air Force One for a campaign fundraising event at an oil rig in Midland, according to Fox News.
In a video posted to his Twitter account Wednesday afternoon, Gohmert disclosed he has tested positive for COVID-19 but said he has, so far, been “asymptomatic.”
My statement about today's diagnosis: pic.twitter.com/qvf7zIcgdN
— Louie Gohmert (@replouiegohmert) July 29, 2020
On Tuesday, Gohmert attended an hours-long hearing on Capitol Hill, where Attorney General William Barr testified. Kerri Kupec, a spokesperson for the Department of Justice, said Barr will be tested Wednesday for COVID-19 because of his proximity to the Texas lawmaker.
Gohmert, who has done much — but not all — of his business in Washington, D.C., without a mask, was very close to Barr at one point.
ACTUALLY... here is a video of AG Barr and Gohmert.
While Barr arrived with a mask, it was off when he walked into the hearing room, so both men were not wearing masks at this time. pic.twitter.com/xm6wuq6QvW
— Olivia Beavers (@Olivia_Beavers) July 29, 2020
As for why he hasn’t been wearing a facial covering, Gohmert told CNN in June he was being tested regularly for COVID-19. Trump, for his part, has used the same reasoning to defend his decision to not wear a mask, though he has been seen wearing one during recent appearances.
The president encouraged Americans to wear masks earlier this month, calling the practice “patriotic.”"
0,2020-07-28T14:00:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/billionaire-george-soros-gives-whopping-50m-to-help-biden-and-other-dems-win-us-elections,Billionaire George Soros Gives Whopping $50M to Help Biden and Other Dems Win US Elections,"Billionaire George Soros has set a new personal record in his latest attempt to influence US campaigns, reportedly donating more than $50 million for left-wing causes and candidates in the 2020 elections.
The Federal Election Commission shows he funneled $48 million through his own ""Democracy PAC"" this cycle and donated another $4 million directly to Democratic campaigns - totaling $52 million in contributions.
The Washington Free Beacon reports Soros' 2020 donations vastly exceeded his previous allocation of $22 million during the last presidential election.
Related
Mail-in Voting: Easier, or a Recipe for Widespread Fraud?
NY Mail-In Voting Deluge Fuels Uncounted Ballots, Confusion
Is 'Faithful America' the Voice of Christians? Then Why Do They Keep Trying to Force Christians Off the Air?
Donations from the Democracy PAC, which Soros created, will fund the Nancy Pelosi-linked House Majority PAC, the Chuck Schumer-tied Senate Majority PAC, Planned Parenthood Votes, and the Sixteen Thirty Fund.
STAY UP TO DATE WITH THE FREE CBN NEWS APP 
Click Here Get the App with Special Alerts on Breaking News and Top Stories
Soros's contributions include several hundred thousand to the Democratic Grassroots Victory Fund, the Nancy Pelosi Victory Fund, and the Biden Victory Fund.
One GOP worker told the Free Beacon, ""George Soros's unprecedented spending further highlights just how dependent Democrats are on contributions from billionaires, despite their hypocritical rhetoric.""
Soros, 89, said he views the 2020 elections as pivotal, saying the ""fate of the world"" is at risk.
Soros heavily supports the ""vote-by-mail"" system which has gained momentum due to COVID shutdowns, and includes ""drop boxes inaccessible locations for voters to drop off ballots directly.""
In a vote-by-mail system, voters receive a mail ballot, which is filled out and mailed back to the local registrar of voters.
Critics say the mail-in system benefits the Democratic Party, and Republicans worry about the possibility of voter fraud since mail-in voting is difficult to verify.
The latest attempts at mail-in voting in New York have caused severe delays and confusion in the vote-counting, overloading the election system. 
We encourage readers who wish to comment on our material to do so through our Facebook, Twitter, YouTube, and Instagram accounts. God bless you and keep you in His truth."
0,2020-07-28T09:15:00-04:00,https://www1.cbn.com/cbnnews/politics/2020/july/democrats-grill-ag-william-barr-over-long-list-of-topics-during-hearing-before-congress,Democrats Grill AG William Barr Over Long List of Topics During Hearing Before Congress,"Fireworks on Capitol Hill Tuesday as Attorney General Bill Barr faced hard questions on a number of issues. Barr defended himself as best he could, but high drama ruled the day.
The Attorney General was noticeably frustrated at not getting time from Democrats to answer questions, often asking Republicans to use the time to respond. Democrats attempted to paint the nation's top law enforcement officer as a villain, while Republicans brought a narrative of their own.
The hearing became contentious within the first five minutes. 
Related
Justice Dept Exonerates Michael Flynn: 'He Was Targeted by the Obama Administration'
'Fallout': New Book Exposes Real Motives Behind Russia Investigation and Plot to Remove Trump from Office
Documents Reveal Mueller Probe Went Well Beyond Original Mission to Find Russian Collusion
'God Has a Mission for Me': Roger Stone Tells CBN News He's Not Out for Revenge but on a New Path
""In your time in the Department of Justice, you have aided and abetted the worst failings of the president,"" said House Judiciary Committee Chair Rep. Jerry Nadler. ""At your direction, department officials have downplayed the effects of systemic racism and abandoned the victims of police brutality.""
STAY UP TO DATE WITH THE FREE CBN NEWS APP 
Click Here Get the App with Special Alerts on Breaking News and Top Stories
Republicans played a lengthy video showing recent violent protests and unrest across the country. Afterward, Democrats criticized the attorney general for allowing federal officers to go into cities where they weren't wanted. He defended the move saying the protection of federal property is paramount.
Where police brutality is concerned, the AG recognized there is a problem but offered a caveat.
""According to statistics compiled by The Washington Post, the number of unarmed black men killed so far this year by police is 8...the number of unarmed white men killed by police is 11,"" Attorney General Bill Barr said.  
""The leading cause of death for black males is homicide. Every year approximately 7,500 black Americans are victims in homicide. The vast majority, around 90 percent, are killed by gunfire, and each of those lives matter.""
Democrats accused Barr of doing the president's bidding by helping Trump's friends avoid punishment - claims the AG rebuffed.
""I agree the president's friends don't deserve special breaks but they also don't deserve to be treated more harshly than other people,"" Barr said. ""I'm supposedly punishing the president's enemies and helping his friends. What enemies have I indicted?""
Republican Minority Leader Jim Jordan referred to the Russia collusion investigation, saying Tuesday's hearing was all about one word.
""Spying, that one word, that's why they're after you Attorney General,"" Jordan said. ""You said you think spying on a political campaign is a big deal. And since that day when you had the courage to state the truth,  they've been attacking you for simply telling the truth: that the Obama/ Biden administration spied on the Trump campaign.""
Barr did not read aloud part of his prepared remarks that referred to what he thinks of the Russia investigation, but they were released in advance to the press.  Here's what he wrote:
""Ever since I made it clear that I was going to do everything I could to get to the bottom of the grave abuses involved in the bogus Russiagate scandal, many of the Democrats on this committee have attempted to discredit me by conjuring up a narrative that I am simply the president's factotum who disposes of criminal cases according to his instructions.""
The Mueller report and voter fraud were also brought up in the hearing.  In fact, one Republican lawmaker said Barr was blamed for so much, he's surprised Democrats didn't try to pin the COVID-19 pandemic on him.
We encourage readers who wish to comment on our material to do so through our Facebook, Twitter, YouTube, and Instagram accounts. God bless you and keep you in His truth."
