0,Published,Link,Title,Snippet
1,2020-08-04T09:47:21-04:00,https://www.theatlantic.com/politics/archive/2020/08/kennedy-markey-massachusetts-senate/614587/,Why Is Joe Kennedy Doing This?,"WORCESTER, Mass.—The words tumble out of Joseph Patrick Kennedy III so quickly that the sense of urgency, even an unintended hint of impatience, is impossible to miss. The red-haired representative from Massachusetts—Joe, to just about everybody—is an extremely fast talker. The characteristic might be beyond his control, but it also seems to fit the moment. On a sweltering Saturday afternoon, Kennedy is explaining to me, one more time, why he is running for Senate.
Sign up for The Atlantic’s daily newsletter.
Each weekday evening, get an overview of the day’s biggest news, along with fascinating ideas, images, and voices.
Email Address
Sign Up
“I got in this race because we have major challenges we have to confront, and the current occupant of this seat is not doing all that he can to actually address it,” Kennedy said of his opponent, the Democratic incumbent Senator Ed Markey. We’re standing in the shade on a quiet street in a suburban area of Worcester, the once-industrial city about an hour west of Boston, and Kennedy pulls down his mask for occasional gulps of water. “I got in this race and said, Let me show you and I’ll prove it to you. Understanding that the burden’s on me, let me prove it to you.”
Read: The last Kennedy
A Kennedy from Massachusetts who wants to be a senator is about as common in New England as clam chowder on a diner menu. Joe’s most famous great-uncles, John F. Kennedy and Edward Kennedy, held the same Senate seat for more than half a century. (Robert F. Kennedy, Joe’s Brookline-born grandfather, was a senator from New York.)"
0,2020-08-03T05:00:00-04:00,https://www.theatlantic.com/politics/archive/2020/08/democrats-risky-senate-bet-kris-kobach-kansas/614803/,Democrats Are Spending Millions to Boost a Trump Ally,"There are few republican politicians aside from Donald Trump whom Democrats abhor more than Kris Kobach, the Kansas conservative who has gained national fame as an architect of laws to force immigrants to show their papers to police and voters to prove their citizenship at the polls.
Yet for the past few weeks, Democrats have come to Kobach’s rescue, spending at least $4 million to help the unapologetic Trump ally win the Republican nomination for an open U.S. Senate seat in Kansas. The primary is August 4, and a Democratic-aligned super PAC formed in recent weeks has poured millions into TV ads that bash Kobach’s opponent, Representative Roger Marshall, the Republican backed by Senate Majority Leader Mitch McConnell and other state and national GOP power brokers. The ads attack Marshall from the right, lumping him in with “Mitt Romney Republicans and Never Trumpers” who think Kobach is “too conservative.” The committee, called the Sunflower State PAC, is using an advertising firm that created commercials for Bernie Sanders’s 2016 presidential campaign and for a super PAC backing Joe Biden this year.
It appears to be a simple, if clandestine, case of primary meddling, a tactic that has become popular among both parties in recent years: Democrats see Kobach as the weaker, more polarizing GOP candidate and are trying to boost him now so they can pummel him in the fall. But the strategy is unnerving the party’s staunchest immigrant advocates, who see Kobach as a uniquely dangerous figure and who worry the move could backfire and end up giving him a national platform in the Senate and a potential launching pad to the presidency."
0,2020-08-02T07:00:00-04:00,https://www.theatlantic.com/politics/archive/2020/08/ice-family-separation-death/614335/,When a Family Separation Becomes Permanent,"On a friday morning in April 2019, a guard at the Immigration and Customs Enforcement detention facility in Aurora, Colorado, entered a cell occupied by Idrissa Camara, a 31-year-old immigrant from West Africa, and informed him that he had a visitor. Camara wasn’t expecting anyone, but figured it might be his wife, Arri Woodson-Camara. Typically, detainees are allowed to speak with visitors only through a pane of glass in a narrow visiting room. On this day, however, a guard escorted Camara into a common area and instructed him to sit at a table.
Get the news, without the noise.
Subscribe to The Atlantic Daily for our editors’ guide to what matters in the world.
Email Address
Sign Up
The couple’s plan had been to talk on the phone regularly while Camara was detained. There were questions about lawyers and paperwork and deadlines that needed to be addressed. Meeting Arri three years earlier—they both worked for the same social-services organization in Pueblo, Colorado, Arri’s hometown—had been an exciting moment in Camara’s life. The two of them often discussed their future, and were saving up for a house and thinking about starting a family. Camara had tried to remain hopeful that they would still realize those dreams. Lately, though, he was struggling with feelings of depression; he felt he couldn’t do much about his legal troubles from a cell. That week, the couple hadn’t spent a lot of time talking about his case. So getting to see Arri in person, whatever the reason for her visit, was a pleasant surprise."
0,2020-07-31T07:00:00-04:00,https://www.theatlantic.com/politics/archive/2020/07/karen-bass-cuba-venceremos-brigade/614662/,When Karen Bass Went to Work in Castro’s Cuba,"Karen Bass, the congresswoman from California, is in contention to become Joe Biden's running mate. There are good reasons for this. She is reliably liberal, she chairs the Congressional Black Caucus, and she shares a history of family loss with Biden. But she’s also the only person on Biden’s list who spent part of the 1970s working construction in Fidel Castro’s Cuba with the Venceremos Brigade, a group that has organized annual trips to Cuba for young, leftist Americans for half a century.
Sign up for The Atlantic’s daily newsletter.
Each weekday evening, get an overview of the day’s biggest news, along with fascinating ideas, images, and voices.
Email Address
Sign Up
The Biden campaign knows about Bass’s history with the Brigade, which began as a joint venture of the Castro government and Students for a Democratic Society, the leftist, antiwar organization that gave birth to the Weather Underground terrorist group. She told Biden’s vetting committee weeks ago that this was probably going to come up. So far, it hasn’t been a deal breaker—in fact, her potential to drive up African-American votes might help in Florida among voters who traditionally haven’t been paid as much attention in the state.
Read: Why Joe Biden Has His Eye on Karen Bass
It’s a reflection of the changing politics around Cuba that Biden would consider a running mate whose past might hurt his chances in Florida, where anti-Castro Cubans are still an important constituency. In 1992, being associated with the Venceremos Brigade was enough to prevent Johnnetta Cole, the then-president of Spelman College who was coordinating education policy for Bill Clinton’s transition team, from being nominated to serve as secretary of education."
0,2020-07-31T05:00:00-04:00,https://www.theatlantic.com/politics/archive/2020/07/enduring-fight-congressional-black-caucus-racism/614776/,‘Defund the Police’ Splits the Black Caucus. Or Does It?,"Across the nation, protesters chanted “Defund the police.” They scrawled the phrase on signs, emblazoned it on banners, and painted it on streets. But among the Congressional Black Caucus, which likes to call itself the “conscience of Congress,” many lawmakers who shared the protesters’ rage did not join the chorus. “That’s probably one of the worst slogans ever,” Representative Karen Bass, the chair of the group, told The Washington Post, before quickly pivoting to a discussion on how substance-abuse or mental-health issues should not be handled by police. Other members of the CBC toed the same line: Redefine policing. Restructure the police. “What the hell do you do with a structural problem? You restructure it,” Representative James Clyburn, the third-ranking Democrat in the House, told me. Even the late Representative John Lewis, whose funeral was yesterday, didn’t explicitly support defunding—although he insisted that the activists pushing the idea be heard.
Sign up for The Atlantic’s daily newsletter.
Each weekday evening, get an overview of the day’s biggest news, along with fascinating ideas, images, and voices.
Email Address
Sign Up
Still, some members of the CBC did not share their colleagues’ apprehension about the phrase. “Not only do we need to disinvest from the police, but we need to completely dismantle the Minneapolis Police Department,” Representative Ilhan Omar told protesters at a rally in June. Representative Ayanna Pressley, who alongside Representative Rashida Tlaib threw her support behind the Breathe Act, which would eliminate some federal programs that finance police, defended the defund movement, saying it was “about the investment in our communities, which have historically been divested from.”"
0,2020-07-31T05:00:00-04:00,https://www.theatlantic.com/politics/archive/2020/07/covid-19-upending-battle-state-legislatures/614764/,The Pandemic Is Damaging the GOP Brand Everywhere,"Although hardly any of the governors grappling with the fiercest coronavirus outbreaks are on the ballot this fall, voters’ verdicts about their performance loom heavily over another electoral battle with enormous implications for the balance of power between the parties over the next decade: the struggle for control of state legislatures.
In polls, voters have given higher marks to Democratic governors who have moved cautiously on reopening than to Republicans who reopened early in response to President Donald Trump’s cues. That may offer Democrats their best chance to overcome the GOP’s entrenched advantage in state legislatures—which next year will draw local legislative and congressional-district lines that will govern elections through 2030.
Sign up for The Atlantic’s daily newsletter.
Each weekday evening, get an overview of the day’s biggest news, along with fascinating ideas, images, and voices.
Email Address
Sign Up
“COVID-19 and the concerns that surround that—everything from the health concerns people have to concerns about the economy and school—it’s the issue in the 2020 campaign, without a doubt,” Bob Trammell, the Democratic minority leader in the Georgia House of Representatives, told me, echoing the sentiment of Democrats elsewhere. Governor Brian Kemp, one of the Republicans who reopened early, “may not be on the ballot,” Trammell added, but “his response to COVID is very much on the ballot.”"
0,2020-07-30T15:01:55-04:00,https://www.theatlantic.com/politics/archive/2020/07/read-barack-obamas-eulogy-for-john-lewis-full-text/614761/,Read Barack Obama’s Eulogy for John Lewis,"Former President Barack Obama delivered a eulogy today honoring Representative John Lewis of Georgia, who died July 17 after a decades-long career in the House of Representatives. Lewis, a civil-rights icon who led the 1965 march in Selma, Alabama, across the Edmund Pettus Bridge and spoke at the March on Washington, spent his congressional years advocating for voting rights and equality for Black Americans. Known as the moral “conscience” of the Congress, Lewis lay in state for two days in the Capitol this week.
Sign up for The Atlantic’s daily newsletter.
Each weekday evening, get an overview of the day’s biggest news, along with fascinating ideas, images, and voices.
Email Address
Sign Up
Below, the full text of Obama’s remarks as delivered.
James wrote to the believers, “Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds because you know that the testing of your faith produces perseverance. Let perseverance finish its work so that you may be mature and complete, lacking nothing.” It is a great honor to be back in Ebenezer Baptist Church in the pulpit of its greatest pastor, Dr. Martin Luther King Jr., to pay my respects to perhaps his finest disciple. An American whose faith was tested again and again, to produce a man of pure joy and unbreakable perseverance: John Robert Lewis.
To those who have spoken, to Presidents Bush and Clinton, Madame Speaker, Reverend Warnock, Reverend King, John’s family, friends, his beloved staff, Mayor Bottoms, I’ve come here today because I, like so many Americans, owe a great debt to John Lewis and his forceful vision of freedom."
0,2020-07-28T17:46:19-04:00,https://www.theatlantic.com/politics/archive/2020/07/bill-barr-testimony-house-democrats/614689/,Why the Democrats Can’t Nail Bill Barr,"House Democrats have been waiting for more than a year to grill Attorney General Bill Barr, a man they’ve accused of all manner of professional misconduct—including repeatedly and inappropriately intervening to protect President Donald Trump and deploying federal agents to incite violence in American cities.
Today they finally had their chance, as Barr testified, at long last, before the House Judiciary Committee. For Trump and Barr’s toughest critics, however, it was a frustrating experience. Barr defended the Justice Department’s handling of protests in Portland, Oregon, and other cities—“We’re not out to cause trouble,” he said—and his decision to order a reduction in the sentence that federal prosecutors had requested for Trump’s longtime associate Roger Stone (a punishment the president eventually commuted). “The judge agreed with me,” the attorney general insisted, in a rare moment when his voice betrayed annoyance. He denied that there was “systemic racism” in police departments across the country, but was barely pressed to defend that assertion.
Democrats have a model for effective congressional oversight: last year’s impeachment hearings against Trump. Though the Senate did not remove the president from office, House Democrats showed how televised hearings could bring to light government conduct that had previously been shielded from public view. The charges were focused, not a hodgepodge of serious but largely unrelated scandals. Democrats turned the initial questioning over to skilled litigators and gave them time to ask witnesses detailed questions and follow-ups. Lawmakers then had their own opportunity."
0,2020-07-28T05:00:00-04:00,https://www.theatlantic.com/politics/archive/2020/07/leonard-leo-donald-trump-and-supreme-courts-term/614500/,When Conservative Justices Revolt,"until two months ago, Leonard Leo was among the unambiguous winners of the Trump era. The bookish lawyer and architect of the conservative legal movement has spent the past three and a half years executing his decades-long vision of remaking the federal judiciary—he was instrumental in the Supreme Court appointments of Brett Kavanaugh and Neil Gorsuch. But during the Court’s term this summer, an old conservative nightmare recurred: Republican-appointed justices, including Gorsuch, aligned with their liberal colleagues on big, consequential decisions about immigration, abortion, and LGBTQ protections.
Sign up for The Atlantic’s daily newsletter.
Each weekday evening, get an overview of the day’s biggest news, along with fascinating ideas, images, and voices.
Email Address
Sign Up
In recent decades, conservative justices have consistently moved to the left once reaching the bench: Anthony Kennedy, who was nominated by Ronald Reagan, routinely cast the deciding vote against social conservatives on gay rights. Conservative-movement stalwarts have never forgiven David Souter, the George H. W. Bush appointee, for voting to uphold the constitutional right to abortion in the 1992 decision Planned Parenthood v. Casey, or for siding with his liberal colleagues in the battle over the 2000 presidential election, Bush v. Gore. Leo spent his career building a conservative legal machine in Washington that would forestall this kind of leftward drift among Supreme Court justices. But this summer, the machine began to sputter."
0,2020-07-27T05:00:00-04:00,https://www.theatlantic.com/politics/archive/2020/07/how-trump-could-win-reelection/612205/,Don’t Count Trump Out,"Let’s stipulate right away that President Donald Trump is losing this race. Set aside the particulars—how suburban voters are migrating toward Joe Biden, and how seniors are rethinking their support too. Consider the basics.
Presidents are supposed to keep Americans employed. The jobless rate now stands at 11 percent—more than 3 points higher than when Jimmy Carter lost reelection in 1980 and when George H. W. Bush was defeated in 1992.
Get the news, without the noise.
Subscribe to The Atlantic Daily for our editors’ guide to what matters in the world.
Email Address
Sign Up
Presidents are supposed to keep Americans safe. About 140,000 have died from COVID-19, more than twice the number that perished in the Vietnam War, which doomed Lyndon B. Johnson’s reelection chances in 1968.
Presidents are supposed to attract voters outside their loyal base. Trump’s approval rating stands at 38 percent, according to Gallup; no president since Harry Truman in 1948 has won reelection with a number less than 40 percent.
So what—it’s over, then? Maybe not. Facing the combined calamities of a pandemic and an economic meltdown, Trump hasn’t collapsed. His base never really grows, but neither does it crumple, keeping him competitive. “If Trump could shoot someone on Fifth Avenue and not lose supporters, he could also raise the dead on Fifth Avenue and not gain any supporters,” Charles Franklin, the director of the Marquette Law School poll, told me."
