0,Published,Link,Title,Snippet
1,2020-08-04T01:43:04+00:00,https://www.alternet.org/2020/08/trump-slammed-for-obscene-boasts-about-the-stock-market-as-millions-of-americans-suffer/,Trump slammed for ‘obscene’ boasts about the stock market as millions of Americans suffer,
2,2020-08-04T01:29:56+00:00,https://www.alternet.org/2020/08/trump-is-still-trying-to-destroy-obamacare-but-its-been-a-crucial-lifeline-during-the/,Trump is still trying to destroy Obamacare — but it’s been a crucial lifeline during the pandemic,
3,2020-08-04T01:08:21+00:00,https://www.alternet.org/2020/08/republican-senators-are-committing-political/,Republican senators are committing political suicide,
4,2020-08-04T00:48:40+00:00,https://www.alternet.org/2020/08/gop-lawmakers-daughter-blames-trump-after-her-dad-gets-19-my-father-ignored-medical-expertise/,GOP lawmaker’s daughter blames Trump after her dad gets COVID-19: ‘My father ignored medical expertise’,
5,2020-08-03T23:47:06+00:00,https://www.alternet.org/2020/08/trumps-s-on-the-postal-service-are-hurting-democracy-and-thats-the-point/,Trump’s attacks on the Postal Service are hurting democracy — and that’s the point,
6,2020-08-03T23:18:45+00:00,https://www.alternet.org/2020/08/democrats-have-a-warning-for-the-gop-if-it-tries-to-put-another-trump-appointee-on-the-supreme-court/,Democrats have a warning for the GOP if it tries to put another Trump appointee on the Supreme Court,
7,2020-08-03T23:01:02+00:00,https://www.alternet.org/2020/08/how-obama-abandoned-accountability-and-helped-pave-the-way-for-trumps-abuses/,How Obama abandoned accountability — and helped pave the way for Trump’s abuses,
8,2020-08-03T22:29:05+00:00,https://www.alternet.org/2020/08/health-experts-warn-about-political-interference-in-vaccines-as-trump-urges-warp-speed/,Health experts warn about political interference in vaccines as Trump urges ‘warp speed’,
9,2020-08-03T21:24:55+00:00,https://www.alternet.org/2020/08/navy-launches-probe-after-kaepernick-jersey-used-in-dog-demonstration/,Navy launches probe after Kaepernick jersey used in dog attack demonstration,
10,2020-08-03T20:39:34+00:00,https://www.alternet.org/2020/08/the-one-thing-we-know-about-bidens-vp-choice/,The one thing we know about Biden’s VP choice,
0,2020-08-03T20:22:38+00:00,https://www.alternet.org/2020/08/irregularities-found-in-the-trump-administrations-contract-for-company-used-to-collect-data-report/,‘Irregularities’ found in the Trump administration’s contract for company used to collect coronavirus data: report,
1,2020-08-03T20:04:44+00:00,https://www.alternet.org/2020/08/new-report-reveals-one-of-the-funders-of-the-federalist-and-how-right-wing-commentators-warp-the-news/,New report reveals one of the funders of The Federalist — and how right-wing commentators warp the news,
2,2020-08-03T19:41:39+00:00,https://www.alternet.org/2020/08/justice-department-is-zeroing-in-on-the-takeover-of-credit-karma-by-the-maker-of-turbotax/,Justice Department is zeroing in on the takeover of Credit Karma by the maker of TurboTax,
3,2020-08-03T19:23:47+00:00,https://www.alternet.org/2020/08/trump-knows-his-time-is-up-and-that-makes-him-extremely-dangerous/,Trump ‘knows his time is up’ — and that makes him extremely dangerous,
4,2020-08-03T18:56:10+00:00,https://www.alternet.org/2020/08/trump-stuns-observers-by-openly-soliciting-payment-to-us-treasury-for-his-approval-of-tiktok-sale/,Trump stuns observers by openly soliciting payment to US Treasury for his ‘approval’ of TikTok sale,
5,2020-08-03T18:40:11+00:00,https://www.alternet.org/2020/08/meet-the-disturbing-trump-aide-who-admitted-he-wanted-the-president-to-be-more-of-a-fascist/,Meet the disturbing Trump aide who admitted he wanted the president to be ‘more of a fascist’,
6,2020-08-03T18:39:21+00:00,https://www.alternet.org/2020/08/would-republicans-fill-a-supreme-court-vacancy-even-during-trumps-last-weeks-of-course-they-would/,Would Republicans fill a Supreme Court vacancy even during Trump’s last weeks? Of course they would,
7,2020-08-03T18:15:18+00:00,https://www.alternet.org/2020/08/white-working-class-voters-are-finally-turning-on-trump/,White working class voters are finally turning on Trump,
8,2020-08-03T17:57:25+00:00,https://www.alternet.org/2020/08/manhattan-da-filings-indicate-trump-is-being-investigated-for-possible-fraud-and-protracted-criminal-conduct-report/,Manhattan DA filings indicate Trump is being investigated for possible fraud and ‘protracted criminal conduct’: report,
9,2020-08-03T17:35:07+00:00,https://www.alternet.org/2020/08/heres-your-tuesday-primary-rundown-republicans-fear-a-potential-disaster-in-kansas-senate-contest/,Here’s your Tuesday primary rundown: Republicans fear a potential disaster in Kansas Senate contest,
0,2020-08-03T17:24:18+00:00,https://www.alternet.org/2020/08/democrats-issue-subpoenas-for-4-state-dept-officials-in-probe-of-ig-steve-linicks-firing/,Democrats issue subpoenas for 4 State Dept. officials in probe of IG Steve Linick’s firing,
1,2020-08-03T17:04:07+00:00,https://www.alternet.org/2020/08/trumps-anti-biden-s-arent-working-in-pennsylvania-a-state-the-president-cant-afford-to-lose/,Trump’s anti-Biden attacks aren’t working in Pennsylvania — a state the president can’t afford to lose: report,
2,2020-08-03T15:58:39+00:00,https://www.alternet.org/2020/08/deutsche-bank-launches-internal-probe-into-personal-banker-of-donald-trump-and-jared-kushner-report/,Deutsche Bank launches internal probe into personal banker of Donald Trump and Jared Kushner: report,
3,2020-08-03T15:25:05+00:00,https://www.alternet.org/2020/08/from-hell-jim-jones-rejoices-famous-anti-cult-attorney-explains-what-trump-has-in-common-with-notorious-peoples-temple-leader/,"‘From hell, Jim Jones rejoices’: Famous anti-cult attorney explains what Trump has in common with notorious People’s Temple leader",
4,2020-08-03T14:40:37+00:00,https://www.alternet.org/2020/08/trumps-craziness-is-scaring-off-exhausted-voters-in-the-rust-belt-states-ohio-columnist/,Trump’s ‘craziness’ is scaring off exhausted voters in the Rust Belt states: Ohio columnist,
5,2020-08-03T14:20:36+00:00,https://www.alternet.org/2020/08/trump-claims-nevada-made-it-impossible-for-gop-to-win-by-expanding-voting-rights-during/,Trump claims Nevada made it ‘impossible’ for GOP to win by expanding voting rights during pandemic,
6,2020-08-03T14:03:56+00:00,https://www.alternet.org/2020/08/neuroscientist-explains-why-christian-evangelicals-are-wired-to-believe-donald-trumps-lies/,Neuroscientist explains why Christian evangelicals are wired to believe Donald Trump’s lies,
7,2020-08-03T13:46:51+00:00,https://www.alternet.org/2020/08/gop-strategists-fear-a-kris-kobach-nomination-could-cost-republicans-greatly-the-senate-majority-runs-through-kansas/,GOP strategists fear a Kris Kobach nomination could cost Republicans greatly: ‘The Senate majority runs through Kansas’,
8,2020-08-03T12:35:45+00:00,https://www.alternet.org/2020/08/mike-pences-office-pressured-navy-to-reinstate-controversial-former-missouri-governor-foiad-documents/,Mike Pence’s office pressured Navy to reinstate controversial former Missouri governor: FOIA’d documents,
9,2020-08-03T12:17:01+00:00,https://www.alternet.org/2020/08/trump-is-doomed-and-he-knows-it/,Trump is doomed — and he knows it,
0,2020-08-03T12:02:33+00:00,https://www.alternet.org/2020/08/millionaire-treasury-secretary-uses-debunked-gop-talking-point-to-justify-slashing-600-unemployment-insurance/,Millionaire Treasury secretary uses debunked GOP talking point to justify slashing $600 unemployment insurance,
1,2020-08-03T11:50:27+00:00,https://www.alternet.org/2020/08/i-dont-think-he-plans-to-leave-the-white-house-rep-clyburn-warns-americans-to-wake-up/,‘I don’t think he plans to leave the White House’: Rep. Clyburn warns Americans to ‘wake up’,
2,2020-08-03T11:31:17+00:00,https://www.alternet.org/2020/08/mitch-mcconnell-is-leaving-endangered-republican-senators-hanging-because-he-has-his-own-re-election-problems-ex-gop-rep/,Mitch McConnell is leaving endangered Republican senators hanging because he has his own re-election problems: ex-GOP rep,
3,2020-08-03T11:10:36+00:00,https://www.alternet.org/2020/08/trump-threatens-to-ban-popular-social-media-app-tiktok-with-an-executive-order/,Trump threatens to ban popular social media app TikTok ‘with an executive order’,
4,2020-08-03T11:04:14+00:00,https://www.alternet.org/2020/08/we-knew-it-was-a-when-not-if-indiana-school-gets-positive-19-case-hours-after-reopening/,‘We knew it was a when — not if’: Indiana school gets positive COVID-19 case hours after reopening,
5,2020-08-03T10:49:32+00:00,https://www.alternet.org/2020/08/people-from-around-the-world-watched-a-video-on-in-america-they-could-not-believe-their-eyes/,People from around the world watched a video on COVID-19 in the US. They could not believe their eyes,
6,2020-08-03T10:43:51+00:00,https://www.alternet.org/2020/08/big-pharma-gave-thousands-to-montana-sen-steve-daines-while-he-was-writing-a-law-to-award-them-federal-funds/,Big Pharma gave thousands to Montana Sen. Steve Daines — while he was writing a law to award them federal funds,
7,2020-08-03T10:35:13+00:00,https://www.alternet.org/2020/08/tyranny-expert-explains-how-donald-trump-has-ceded-the-election-but-is-creating-a-crisis-to-cling-to-power/,Tyranny expert explains how Donald Trump has ‘ceded the election’ but is creating a crisis to ‘cling to power’,
8,2020-08-02T17:27:04+00:00,https://www.alternet.org/2020/08/a-weakened-trump-desperately-tries-to-preserve-his-delusions-of-grandeur/,A weakened Trump desperately tries to preserve his delusions of grandeur,
9,2020-08-02T17:23:23+00:00,https://www.alternet.org/2020/08/gop-congressman-reprimanded-for-11-ethics-violations-including-fake-loan-he-made-to-his-campaign/,GOP congressman reprimanded for 11 ethics violations — including fake loan he made to his campaign,
0,2020-08-02T14:08:26+00:00,https://www.alternet.org/2020/08/loudmouthed-bully-jim-jordan-slammed-for-mounting-stunningly-lunkheaded-on-dr-fauci/,‘Loudmouthed Bully’ Jim Jordan slammed for mounting ‘stunningly lunkheaded’ attack on Dr. Fauci,
1,2020-08-02T13:32:41+00:00,https://www.alternet.org/2020/08/heres-what-the-faithless-electors-decision-says-about-scotus-and-originalism/,Here’s what the faithless electors decision says about SCOTUS and originalism,
2,2020-08-02T13:25:15+00:00,https://www.alternet.org/2020/08/rnc-announces-convention-press-ban-one-day-after-trump-encounters-yet-another-tiny-crowd-in-florida/,RNC announces convention press ban — one day after Trump encounters yet another tiny crowd in Florida,
3,2020-08-02T13:20:01+00:00,https://www.alternet.org/2020/08/republican-lawmakers-feeling-wrath-of-gop-voters-furious-with-trump-report/,Republican lawmakers feeling wrath of GOP voters furious with Trump: report,
4,2020-08-02T13:04:57+00:00,https://www.alternet.org/2020/08/theyre-playing-with-us-anger-mounts-against-gop-as-600-unemployment-benefit-lapses/,‘They’re playing with us’: Anger mounts against GOP as $600 unemployment benefit lapses,
5,2020-08-02T12:20:47+00:00,https://www.alternet.org/2020/08/trump-is-losing-a-key-battleground-state-because-voters-arent-buying-his-biden-smears-report/,Trump is losing a key battleground state because voters aren’t buying his Biden smears: report,
6,2020-08-02T12:18:15+00:00,https://www.alternet.org/2020/08/in-a-rare-move-republicans-tell-president-trump-no/,"In a rare move, Republicans tell President Trump ‘no’",
7,2020-08-02T12:15:38+00:00,https://www.alternet.org/2020/08/the-lincoln-project-ads-are-working-trumps-re-election-campaign-has-been-utterly-derailed/,The Lincoln Project ads are working — Trump’s re-election campaign has been utterly derailed,
8,2020-08-02T12:13:24+00:00,https://www.alternet.org/2020/08/rep-louie-gohmerts-history-of-spreading-racist-lies-about-immigrants-and-disease/,Rep. Louie Gohmert’s history of spreading racist lies about immigrants and disease,
9,2020-08-02T12:11:28+00:00,https://www.alternet.org/2020/08/revealed-trump-wasted-half-a-billion-on-10000-ventilators-that-wont-arrive-until-september-2022/,"Revealed: Trump wasted half a billion on 10,000 ventilators that won’t arrive until September 2022",
0,2020-08-02T12:18:15+00:00,https://www.alternet.org/2020/08/in-a-rare-move-republicans-tell-president-trump-no/,"In a rare move, Republicans tell President Trump ‘no’",
1,2020-08-02T12:15:38+00:00,https://www.alternet.org/2020/08/the-lincoln-project-ads-are-working-trumps-re-election-campaign-has-been-utterly-derailed/,The Lincoln Project ads are working — Trump’s re-election campaign has been utterly derailed,
2,2020-08-02T12:13:24+00:00,https://www.alternet.org/2020/08/rep-louie-gohmerts-history-of-spreading-racist-lies-about-immigrants-and-disease/,Rep. Louie Gohmert’s history of spreading racist lies about immigrants and disease,
3,2020-08-02T12:11:28+00:00,https://www.alternet.org/2020/08/revealed-trump-wasted-half-a-billion-on-10000-ventilators-that-wont-arrive-until-september-2022/,"Revealed: Trump wasted half a billion on 10,000 ventilators that won’t arrive until September 2022",
4,2020-08-02T12:07:36+00:00,https://www.alternet.org/2020/08/trump-didnt-just-break-the-gop-he-broke-conservatism/,Trump didn’t just break the GOP — he broke conservatism,
5,2020-08-02T12:05:36+00:00,https://www.alternet.org/2020/08/one-american-now-dies-from-19-every-minute/,One American now dies from COVID-19 every minute,
6,2020-08-02T11:54:40+00:00,https://www.alternet.org/2020/08/here-are-13-ways-a-democratic-wave-pickup-of-double-digit-senate-seats-is-a-real-possibility/,Here are 13 ways a Democratic wave pickup of double-digit Senate seats is a real possibility,
7,2020-08-02T11:48:23+00:00,https://www.alternet.org/2020/08/trump-administration-insisted-this-democratic-congressman-hold-hearings-in-person-now-he-has-19/,Trump administration insisted this Democratic congressman hold hearings in person. Now he has COVID-19,
8,2020-08-02T11:42:33+00:00,https://www.alternet.org/2020/08/trumps-vaccine-chief-picks-his-own-former-employer-for-2-1-billion-deal/,Trump’s vaccine chief picks his own former employer for $2.1 billion deal,
9,2020-08-02T11:36:39+00:00,https://www.alternet.org/2020/08/kindergarten-level-logic-trump-repeats-false-claim-that-rise-in-19-cases-is-result-of-more-testing-as-cases-surge-across-us/,‘Kindergarten-level logic’: Trump repeats false claim that rise in COVID-19 cases is result of more testing as cases surge across US,
