0,Published,Link,Title,Snippet
1,2020-08-04,https://www.theatlantic.com/politics/archive/2020/08/kennedy-markey-massachusetts-senate/614587/,Why Is Joe Kennedy Doing This?,
2,2020-08-03,https://www.theatlantic.com/politics/archive/2020/08/democrats-risky-senate-bet-kris-kobach-kansas/614803/,Democrats Are Spending Millions to Boost a Trump Ally,
3,2020-08-02,https://www.theatlantic.com/politics/archive/2020/08/ice-family-separation-death/614335/,When a Family Separation Becomes Permanent,
4,2020-07-31,https://www.theatlantic.com/politics/archive/2020/07/karen-bass-cuba-venceremos-brigade/614662/,When Karen Bass Went to Work in Castro’s Cuba,
5,2020-07-31,https://www.theatlantic.com/politics/archive/2020/07/enduring-fight-congressional-black-caucus-racism/614776/,‘Defund the Police’ Splits the Black Caucus. Or Does It?,
6,2020-07-31,https://www.theatlantic.com/politics/archive/2020/07/covid-19-upending-battle-state-legislatures/614764/,The Pandemic Is Damaging the GOP Brand Everywhere,
7,2020-07-30,https://www.theatlantic.com/politics/archive/2020/07/read-barack-obamas-eulogy-for-john-lewis-full-text/614761/,Read Barack Obama’s Eulogy for John Lewis,
8,2020-07-28,https://www.theatlantic.com/politics/archive/2020/07/bill-barr-testimony-house-democrats/614689/,Why the Democrats Can’t Nail Bill Barr,
9,2020-07-28,https://www.theatlantic.com/politics/archive/2020/07/leonard-leo-donald-trump-and-supreme-courts-term/614500/,When Conservative Justices Revolt,
10,2020-07-27,https://www.theatlantic.com/politics/archive/2020/07/how-trump-could-win-reelection/612205/,Don’t Count Trump Out,
11,2020-07-25,https://www.theatlantic.com/politics/archive/2020/07/trump-turning-arizona-blue/614572/,How to Lose a Swing State,
12,2020-07-25,https://www.theatlantic.com/politics/archive/2020/07/donna-shalala-pandemic-vaccine-fauci/614545/,The Florida Democrat Who’s Been Warning About a Pandemic for Decades,
13,2020-07-24,https://www.theatlantic.com/politics/archive/2020/07/new-york-election-failure-mail-in-voting/614446/,The Chaos in New York Is a Warning,
14,2020-07-23,https://www.theatlantic.com/politics/archive/2020/07/larry-hogan-betting-his-future-post-trump-gop/614494/,Larry Hogan Isn’t Coming to Save the Republican Party,
15,2020-07-23,https://www.theatlantic.com/politics/archive/2020/07/us-cities-massive-wealth-and-education-gaps/614491/,America’s Cities Are Staggeringly Unequal,
16,2020-07-22,https://www.theatlantic.com/politics/archive/2020/07/trumps-portland-offensive-fits-long-pattern/614476/,Trump Is Determined to Split the Country in Two,
17,2020-07-22,https://www.theatlantic.com/politics/archive/2020/07/how-voter-fraud-hysteria-and-partisan-bickering-ate-american-election-oversight/614455/,How Ugly Politicking Ate Election Oversight,
18,2020-07-21,https://www.theatlantic.com/politics/archive/2020/07/debbie-dingell-doesnt-believe-polls/614428/,Debbie Dingell Is Afraid the Trump Polls Are Wrong—Again,
19,2020-07-21,https://www.theatlantic.com/politics/archive/2020/07/limits-restorative-justice-jacksonville/614311/,"‘They Got Her This Time, Son’",
0,2020-07-21,https://www.theatlantic.com/politics/archive/2020/07/judge-esther-salas-shooting-suspect-left-pro-trump-paper-trail/614425/,The New Jersey Shooting Suspect Left a Pro-Trump Paper Trail,
1,2020-07-20,https://www.theatlantic.com/politics/archive/2020/07/why-senate-filibuster-could-be-gone-2021/614278/,"The End of the Filibuster—No, Really",
2,2020-07-18,https://www.theatlantic.com/politics/archive/2020/07/john-lewis-civil-rights/614374/,The World John Lewis Helped Create,
3,2020-07-18,https://www.theatlantic.com/politics/archive/2020/07/joe-bidens-vice-president-powerful-history/614161/,Joe Biden’s Vice President Could Be the Most Powerful in History,
4,2020-07-17,https://www.theatlantic.com/politics/archive/2020/07/jamaal-bowman-eliot-engel-squad/613597/,Jamaal Bowman Is Ready to Join the Squad,
5,2020-07-17,https://www.theatlantic.com/politics/archive/2020/07/police-reform-law-colorado/614269/,The State Where Protests Have Already Forced Major Police Reform,
6,2020-07-16,https://www.theatlantic.com/politics/archive/2020/07/2020-renewal-award-winners-profiles/614125/,Real Reform Comes From Civic Stamina,
