0,Published,Link,Title,Snippet
1,08-03-2020,https://www1.cbn.com/cbnnews/politics/2020/august/no-deal-on-new-covid-relief-bill-as-congress-debates-paying-people-more-to-stay-home,No Deal on New COVID Relief Bill as Congress Debates 'Paying People More to Stay Home',
2,07-31-2020,https://www1.cbn.com/cbnnews/politics/2020/july/trump-backs-away-from-idea-of-delaying-election-but-still-concerned-i-dont-want-to-see-a-crooked-election,"Trump Backs Away from Idea of Delaying Election, but Still Concerned: 'I Don't Want to See a Crooked Election'",
3,07-31-2020,https://www1.cbn.com/cbnnews/politics/2020/july/trump-is-the-right-to-try-president-thats-why-he-says-doctors-should-be-free-to-consider-hydroxychloroquine,Trump Is the 'Right-to-Try President': He Still Says Docs Should Be Free to Try Hydroxychloroquine,
4,07-30-2020,https://www1.cbn.com/cbnnews/politics/2020/july/emotional-send-off-for-civil-rights-legend-rep-john-lewis,Emotional Send-Off for Civil Rights Legend Rep. John Lewis,
5,07-30-2020,https://www1.cbn.com/cbnnews/politics/2020/july/trump-warns-us-could-implode-like-venezuela-if-we-choose-radical-left-policies-like-green-new-deal,Trump Warns: US Could Implode Like Venezuela if We Choose 'Radical Left' Policies Like 'Green New Deal',
6,07-30-2020,https://www1.cbn.com/cbnnews/politics/2020/july/former-gop-presidential-candidate-herman-cain-dies-of-covid-at-74,"Former Campaign Staffer Eulogizes Herman Cain, Who Died of COVID: ‘His American Dream Story Is One for the History Books’",
7,07-30-2020,https://www1.cbn.com/cbnnews/politics/2020/july/trump-proposes-election-delay-heres-what-the-20th-amendment-to-the-us-constitution-says,Trump Proposes Election 'Delay': Here's What the 20th Amendment to the US Constitution Says,
8,07-29-2020,https://www1.cbn.com/cbnnews/politics/2020/july/republican-lawmaker-tests-positive-for-covid-ahead-of-trip-with-trump,Republican Lawmaker Tests Positive for COVID Ahead of Trip with Trump,
9,07-28-2020,https://www1.cbn.com/cbnnews/politics/2020/july/billionaire-george-soros-gives-whopping-50m-to-help-biden-and-other-dems-win-us-elections,Billionaire George Soros Gives Whopping $50M to Help Biden and Other Dems Win US Elections,
10,07-28-2020,https://www1.cbn.com/cbnnews/politics/2020/july/democrats-grill-ag-william-barr-over-long-list-of-topics-during-hearing-before-congress,Democrats Grill AG William Barr Over Long List of Topics During Hearing Before Congress,
0,,https://www1.cbn.com/cbnnews/politics/2020/july/ny-mail-in-voting-deluge-fuels-uncounted-ballots-confusion,,
1,,https://www1.cbn.com/cbnnews/politics/2020/july/body-of-civil-rights-icon-john-lewis-arrives-in-dc-to-lie-in-state-at-capitol,,
2,,https://www1.cbn.com/cbnnews/politics/2020/july/second-lady-karen-pence-rallies-faith-community-to-reverse-the-military-suicide-epidemic-there-is-hope,,
3,,https://www1.cbn.com/cbnnews/politics/2020/july/trump-calls-off-florida-segment-of-gop-national-convention,Trump Calls Off Florida Segment of GOP National Convention,
4,07-23-2020,https://www1.cbn.com/cbnnews/politics/2020/july/white-house-makes-major-concession-with-time-running-out-in-phase-4-covid-19-relief-negotiations,White House Makes Major Concession with Time Running Out in Phase 4 COVID-19 Relief Negotiations,
5,07-23-2020,https://www1.cbn.com/cbnnews/us/2020/july/ben-shapiro-exposes-agenda-to-destroy-america-in-three-easy-steps,Ben Shapiro Exposes Agenda to 'Destroy America in Three Easy Steps',
6,07-22-2020,https://www1.cbn.com/cbnnews/politics/2020/july/biden-courts-1-million-muslim-voters-wants-american-children-to-study-islam-in-public-schools,"Biden Courts '1 Million Muslim Voters', Wants American Children to Study Islam in Public Schools",
7,07-21-2020,https://www1.cbn.com/cbnnews/politics/2020/july/lawmakers-now-negotiating-1-trillion-covid-19-relief-bill-some-want-more,"Lawmakers Now Negotiating $1 Trillion COVID-19 Relief Bill, Some Want More",
8,07-20-2020,https://www1.cbn.com/cbnnews/politics/2020/july/first-daughter-volunteers-at-faith-based-dc-dream-center,First Daughter Volunteers at Faith-Based DC Dream Center,
9,07-20-2020,https://www1.cbn.com/cbnnews/2020/july/economic-decisions-to-be-top-priority-as-lawmakers-return-to-washington,Economic Decisions Top Priority as Lawmakers Return to Washington,
0,,https://www1.cbn.com/cbnnews/politics/2020/july/justice-ginsburg-says-cancer-has-returned-but-wont-retire,,
1,,https://www1.cbn.com/cbnnews/politics/2020/july/trump-shakes-up-campaign-heres-why-he-just-replaced-his-campaign-manager,,
2,,https://www1.cbn.com/cbnnews/2020/july/oklahoma-gov-stitt-becomes-first-us-governor-to-test-positive-for-covid-19,,
3,,https://www1.cbn.com/cbnnews/politics/2020/july/tommy-tuberville-defeats-jeff-sessions-in-alabama-senate-primary,,
4,,https://www1.cbn.com/cbnnews/politics/2020/july/the-2020-campaign-begins-trump-biden-hold-dueling-press-conferences,,
5,,https://www1.cbn.com/cbnnews/politics/2020/july/god-has-a-mission-for-me-roger-stone-tells-news-hes-not-out-for-revenge-after-trump-pardon,,
