0,Published,Link,Title,Snippet
1,"India News | Edited by Arun Nair | Wednesday August 5, 2020",https://www.ndtv.com/india-news/ayodhya-ram-mandir-bhoomi-pujan-live-updates-ayodhya-decked-up-for-grand-ceremony-pm-to-attend-2274313,"Ayodhya Ram Mandir Bhoomi Pujan Live Updates: PM Modi Leaves For Ayodhya; First Prime Minister To Visit Ram Janmabhoomi, Says UP Government","Prime Minister Narendra Modi and 50 VIPs including Uttar Pradesh Chief Minister Yogi Adityanath will attend  ""Bhoomi Pujan"" or groundbreaking ceremony for a Ram temple at the site that was disputed for decades until the Supreme Court handed over ownership to Hindus last year. The grand event meets a decades-long political promise core to the rulin..."
2,"India News | Press Trust of India | Wednesday August 5, 2020",https://www.ndtv.com/india-news/dmk-mla-ku-ka-selvam-meets-jp-nadda-denies-joining-bjp-2274299,"DMK MLA Ku Ka Selvam Meets JP Nadda, Denies Joining BJP",DMK legislator Ku Ka Selvam on Tuesday called on BJP National President JP Nadda in New Delhi but denied speculations he was joining the saffron party.
3,"India News | Press Trust of India | Wednesday August 5, 2020",https://www.ndtv.com/india-news/plea-in-rajasthan-high-court-to-stop-6-bsp-mlas-function-as-congress-legislators-2274283,Plea In Court To Stop 6 Defecting BSP MLAs Function As Congress Legislators,"BJP MLA Madan Dilawar and the BSP on Tuesday moved a division bench of the Rajasthan High Court challenging an order of its single-judge bench which refused to put a stay on the functioning of the six BSP ""defecting"" MLAs as Congress legislators."
4,"India News | Press Trust of India | Wednesday August 5, 2020",https://www.ndtv.com/india-news/west-bengal-bjp-chief-dilip-ghosh-trinamool-congress-government-will-have-to-pay-heavy-price-for-not-withdrawing-lockdown-on-august-5-2274282,Trinamool Will Have To Pay Heavy Price For Not Withdrawing Lockdown On August 5: Dilip Ghosh,"West Bengal BJP chief Dilip Ghosh on Tuesday said the TMC government will have to ""pay a heavy price"" in the state polls for not budging on its decision to enforce lockdown on August 5, despite requests by his party on account of the Ram temple groundbreaking ceremony in Ayodhya."
5,"India News | Press Trust of India | Wednesday August 5, 2020",https://www.ndtv.com/india-news/trinamool-will-pay-for-not-relaxing-lockdown-on-august-5-bjps-dilip-ghosh-2274281,Trinamool Will Pay For Not Relaxing Lockdown On August 5: BJP's Dilip Ghosh,"West Bengal BJP chief Dilip Ghosh on Tuesday said the TMC government will have to ""pay a heavy price"" in the state polls for not budging on its decision to enforce lockdown on August 5, despite requests by his party on account of the Ram temple groundbreaking ceremony in Ayodhya."
6,"India News | Press Trust of India | Wednesday August 5, 2020",https://www.ndtv.com/india-news/rename-delhis-babar-road-bjp-leader-vijay-goel-2274276,Rename Delhi's Babar Road: BJP Leader Vijay Goel,"A day before the groundbreaking ceremony for the Ram Temple in Ayodhya, former Union minister and BJP leader Vijay Goel on Tuesday demanded that the Babar Road in Bengali market be renamed as 5, August Marg."
7,"India News | Reported by Alok Pandey, Edited by Anindita Sanyal | Wednesday August 5, 2020",https://www.ndtv.com/india-news/grand-ceremony-for-ayodhya-ram-temple-today-pm-to-attend-10-points-2274266,PM Returns To Ayodhya After 29 Years For Ram Temple Ceremony: 10 Points,"Prime Minister Narendra Modi will return to Ayodhya after 29 years today for the ""Bhoomi Pujan"" or groundbreaking ceremony for a Ram temple at the site that was disputed for decades until the Supreme Court handed over ownership to Hindus last year. PM Modi, in a gold kurta and white dhoti, left by special aircraft for the mega ceremony that ..."
8,"India News | Press Trust of India | Tuesday August 4, 2020",https://www.ndtv.com/india-news/key-accused-in-chhattisgarh-mla-bhima-mandavi-killing-arrested-by-nia-2274248,Key Accused In Chhattisgarh MLA Bhima Mandavi Killing Arrested By NIA,"The NIA has arrested a key accused in the killing of Chhattisgarh BJP MLA Bhima Mandavi last year in an IED blast carried out by the outlawed CPI (Maoist), an official said on Tuesday."
9,"India News | Reported by Akhilesh Sharma, Edited by Anindita Sanyal | Wednesday August 5, 2020",https://www.ndtv.com/india-news/bjps-lk-advani-on-ayodhya-ceremony-emotional-and-historic-moment-2274190,"Historic Moment, Wait Has Been Worthwhile: LK Advani On Ayodhya Ceremony","BJP veteran LK Advani, who put the Ayodhya Ram Temple front and centre of the issues championed by the party, spoke up on the eve of the ground-breaking ceremony of the temple, saying it was ""a historical and emotional day not only for me but for all Indians""."
10,"India News | Edited by Chandrashekar Srinivasan | Tuesday August 4, 2020",https://www.ndtv.com/india-news/sushant-singh-rajput-case-he-was-murdered-bjps-narayan-ranes-claim-on-sushant-singh-rajput-2274143,"""He Was Murdered..."": BJP MP Narayan Rane's Claim On Sushant Singh Rajput","Sushant Singh Rajput did not kill himself, BJP MP and former Chief Minister Narayan Rane claimed Tuesday, while also alleging that the actor had been ""murdered"" and the Maharashtra government was trying to ""save someone"""
