0,Published,Link,Title,Snippet
1,2020-08-03T11:39:43Z,https://timesofindia.indiatimes.com/india/all-west-bengal-bjp-mps-are-with-party-kailash-vijayvargiya/articleshow/77331173.cms,All West Bengal BJP MPs are with party: Kailash Vijayvargiya,BJP general secretary Kailash Vijayvargiya on Monday dismissed speculation that some party MPs from West Bengal may join the ruling Trinamool Congress (TMC) before next year's Assembly polls in that state.
2,2020-08-03T11:01:59Z,https://timesofindia.indiatimes.com/india/no-infighting-in-west-bengal-bjp-tmc-spreading-canards-to-mislead-people-dilip-ghosh/articleshow/77330611.cms,"No infighting in West Bengal BJP, TMC spreading canards to mislead people: Dilip Ghosh","Amid reports of infighting in the BJP unit of West Bengal, the party's state president, Dilip Ghosh, on Monday asserted that all was well in the organisation, and charged the TMC with spreading canards against the saffron camp."
3,2020-08-03T10:33:50Z,https://timesofindia.indiatimes.com/india/thackeray-unlikely-to-attend-ram-temple-bhoomi-pujan/articleshow/77329718.cms,Uddhav Thackeray unlikely to attend Ram temple 'bhoomi pujan',"Maharashtra chief minister Uddhav Thackeray is unlikely to visit Ayodhya for the bhoomi pujan for Ram temple construction there on August 5 owing to the serious Covid-19 situation in the Uttar Pradesh town, senior Shiv Sena leader Sanjay Raut indicated on Monday. ""It is important that the PM is going. The CM (Thackeray) can go there anytime,"" said Raut extending good wishes."
4,2020-08-03T09:41:56Z,https://timesofindia.indiatimes.com/india/kailash-vijayvargiya-dismisses-rumours-about-bjp-mps-joining-tmc/articleshow/77328754.cms,Kailash Vijayvargiya dismisses rumours about BJP MPs joining TMC,"BJP leader and Central observer for West Bengal Kailash Vijayvargiya on Monday dismissed the news appearing on a section of news channels that some BJP parliamentarians are going to join Trinamool Congress. He stated that it as a rumour designed to affect the outcome of the 2021 Assembly elections. All our MPs are working under PM Modi's leadership,"" Vijayvargiya said."
5,2020-08-03T08:52:28Z,https://timesofindia.indiatimes.com/city/hyderabad/bjp-wades-into-telangana-versus-andhra-pradesh-fight-muddies-the-water-for-trs-govt/articleshow/77328740.cms,"BJP wades into Telangana versus Andhra Pradesh fight, muddies the water for TRS govt",The posers on various state government schemes and actions of the Centre appear to be irking the Telangana government.
6,2020-08-03T07:56:20Z,https://timesofindia.indiatimes.com/city/nagpur/bjp-cries-over-power-bills-gives-no-relief-in-water-dues/articleshow/77322999.cms,"BJP cries over power bills, gives no relief in water dues","At a time when the BJP has been demanding scrapping of inflated power bills, complete waiver of bills up to 100 units for consumers hit by Covid-19 lockdown and instalment facility, the saffron party-ruled Nagpur Municipal Corporation (NMC) is disconnecting water supply to residential buildings for recovery of arrears from the citizens facing financial difficulties."
7,2020-08-03T05:48:04Z,https://timesofindia.indiatimes.com/city/chennai/union-cabinet-reshuffle-on-cards-g-k-vasan-emerges-front-runner/articleshow/77326265.cms,Union Cabinet reshuffle on cards: G K Vasan emerges front runner,"Soon after laying the foundation stone for the Ram Temple in Ayodhya on August 5, BJP's attention will likely turn towards the Union Cabinet."
8,2020-08-03T01:34:37Z,https://timesofindia.indiatimes.com/city/lucknow/mantri-bjp-chief-among-754-new-covid-patients-in-2-days/articleshow/77323193.cms,"Lucknow: Mantri, BJP chief among 754 new Covid-19 patients in two days","Jal Shakti minister Mahendra Singh and UP BJP president Swatantra Dev Singh were among 754 more persons testing positive for Covid-19 in the city in 48 hours till Sunday evening. The relief, however, was that almost an equal numbers recovered from the disease."
9,2020-08-02T23:23:49Z,https://timesofindia.indiatimes.com/india/congress-kept-farooqs-dad-in-jail-for-11-years-bjp/articleshow/77323534.cms,Congress kept Farooq’s dad in jail for 11 years: BJP,
10,2020-08-02T22:59:59Z,https://timesofindia.indiatimes.com/india/up-minister-succumbs-to-covid-state-bjp-chief-ve/articleshow/77323492.cms,"UP minister succumbs to Covid, state BJP chief +ve",
11,2020-08-02T22:45:00Z,https://timesofindia.indiatimes.com/city/vijayawada/former-min-and-bjp-leader-dies-of-covid-19/articleshow/77307933.cms,Former min and BJP leader dies of Covid-19,
12,2020-08-02T22:45:00Z,https://timesofindia.indiatimes.com/city/jaipur/jaisalmer-bjp-leaders-slam-cong/articleshow/77322777.cms,Jaisalmer BJP leaders slam Cong,
